Time (s),DC (V),RF (V),current (V)
0,1.3,1.3,0.000385653287
0.167301893234,1.3,1.302,0.000387104003
0.338323831558,1.3,1.304,0.000389484007
0.510150909424,1.3,1.306,0.000394233757
0.715893983841,1.3,1.308,0.000397306341
0.914901971817,1.3,1.31,0.000400998196
1.11417603493,1.3,1.312,0.000403718788
1.3161919117,1.3,1.314,0.000406171623
1.51469898224,1.3,1.316,0.000406340098
1.71307682991,1.3,1.318,0.000407677441
1.91843485832,1.3,1.32,0.000409345217
2.1181409359,1.3,1.322,0.00040903855
2.31923604012,1.3,1.324,0.000408875347
2.51725482941,1.3,1.326,0.000410308621
2.71010494232,1.3,1.328,0.000409914749
2.91265583038,1.3,1.33,0.000412048174
3.11696982384,1.3,1.332,0.000411569395
3.31870698929,1.3,1.334,0.000412179561
3.51754593849,1.3,1.336,0.000413403439
3.71912693977,1.3,1.338,0.000412056512
3.91817593575,1.3,1.34,0.000411701834
4.11985993385,1.3,1.342,0.000413931763
4.31635284424,1.3,1.344,0.000412354167
4.51810789108,1.3,1.346,0.000411785402
4.71974802017,1.3,1.348,0.00041030105
4.92026901245,1.3,1.35,0.000411034265
5.11944484711,1.3,1.352,0.000412045395
5.31745696068,1.3,1.354,0.000412038591
5.51538181305,1.3,1.356,0.000412339985
5.71961402893,1.3,1.358,0.000412505488
5.92120885849,1.3,1.36,0.000412892556
6.12057185173,1.3,1.362,0.000412097433
6.32200098038,1.3,1.364,0.000412991839
6.52095198631,1.3,1.366,0.000412371608
6.71964502335,1.3,1.368,0.000412406685
6.92003703117,1.3,1.37,0.000411575719
7.1209089756,1.3,1.372,0.000412218469
7.3222489357,1.3,1.374,0.000412010319
7.52109980583,1.3,1.376,0.000412867543
7.72426486015,1.3,1.378,0.00041144232
7.92567801476,1.3,1.38,0.000412963567
8.12136387825,1.3,1.382,0.000412903959
8.32235097885,1.3,1.384,0.000413035059
8.51999998093,1.3,1.386,0.000411935282
8.72048187256,1.3,1.388,0.000413197302
8.92461299896,1.3,1.39,0.000411115627
9.12372994423,1.3,1.392,0.000411940841
9.32525491714,1.3,1.394,0.000411554732
9.52180886269,1.3,1.396,0.000412937022
9.72585701942,1.3,1.398,0.000413046175
9.92485880852,1.3,1.4,0.000411925892
10.126488924,1.3,1.402,0.000412905971
10.3253588676,1.3,1.404,0.000413480775
10.526943922,1.3,1.406,0.000414370103
10.7263770103,1.3,1.408,0.000414968386
10.9277579784,1.3,1.41,0.000412739416
11.1269729137,1.3,1.412,0.000414240249
11.3242578506,1.3,1.414,0.000414195303
11.5222868919,1.3,1.416,0.000413017137
11.7209718227,1.3,1.418,0.000412590395
11.9282169342,1.3,1.42,0.000413003242
12.1270039082,1.3,1.422,0.000413532046
12.326007843,1.3,1.424,0.000414578059
