Time (s),RF (V),DC (V),current (V)
0,1.3,1.3,0.000999903824
0.198914051056,1.3,1.3006,0.00053087312
0.395234107971,1.3,1.3012,0.000432490033
0.599426031113,1.3,1.3018,0.00041601823
0.798418998718,1.3,1.3024,0.000413272532
1.00127506256,1.3,1.303,0.000406280776
1.20248913765,1.3,1.3036,0.000405882305
1.39730215073,1.3,1.3042,0.000402233191
1.59775614738,1.3,1.3048,0.000400828861
1.8014550209,1.3,1.3054,0.00039661606
2.00310111046,1.3,1.306,0.000397161059
2.20205402374,1.3,1.3066,0.000399266214
2.40554618835,1.3,1.3072,0.000396064542
2.60262417793,1.3,1.3078,0.000397286121
2.80424809456,1.3,1.3084,0.000396236563
3.00104498863,1.3,1.309,0.000395625437
3.20340418816,1.3,1.3096,0.000393646877
3.40493607521,1.3,1.3102,0.000397964519
3.60021495819,1.3,1.3108,0.000395034438
3.80428814888,1.3,1.3114,0.000392619265
4.00356912613,1.3,1.312,0.000392042735
4.20496201515,1.3,1.3126,0.000396374754
4.40413212776,1.3,1.3132,0.000397632268
4.60569500923,1.3,1.3138,0.000399133294
4.80129218102,1.3,1.3144,0.00039485504
5.00630307198,1.3,1.315,0.000395029646
5.20535206795,1.3,1.3156,0.000393616019
5.40075802803,1.3,1.3162,0.000393979608
5.60216498375,1.3,1.3168,0.000394133707
5.8061401844,1.3,1.3174,0.000397464753
6.00760912895,1.3,1.318,0.000397542855
6.20316004753,1.3,1.3186,0.000391930036
6.40771913528,1.3,1.3192,0.000397992311
6.60603404045,1.3,1.3198,0.000396675668
6.80772614479,1.3,1.3204,0.000395422272
7.00683712959,1.3,1.321,0.000396725213
7.20837402344,1.3,1.3216,0.000395381831
7.4073741436,1.3,1.3222,0.000393457128
7.60902500153,1.3,1.3228,0.000392355246
7.80801606178,1.3,1.3234,0.000395812119
8.0071811676,1.3,1.324,0.000396099138
8.20846295357,1.3,1.3246,0.0003918757
8.4080760479,1.3,1.3252,0.000394193316
8.60915112495,1.3,1.3258,0.000395054658
8.80498814583,1.3,1.3264,0.00039308137
9.010887146,1.3,1.327,0.000394551826
9.20892715454,1.3,1.3276,0.000395837132
9.41052699089,1.3,1.3282,0.00039909314
9.60899400711,1.3,1.3288,0.000393266327
9.81102013588,1.3,1.3294,0.000394986426
10.0100560188,1.3,1.33,0.000395611254
10.2116041183,1.3,1.3306,0.000392823676
10.4106271267,1.3,1.3312,0.000392888076
10.612208128,1.3,1.3318,0.000394216315
10.8112711906,1.3,1.3324,0.000395865403
11.0126760006,1.3,1.333,0.000394081384
11.2096171379,1.3,1.3336,0.000398075972
11.4115509987,1.3,1.3342,0.000394819677
11.6120710373,1.3,1.3348,0.000390655081
11.8127770424,1.3,1.3354,0.000391405737
12.0139710903,1.3,1.336,0.000396236563
12.2101709843,1.3,1.3366,0.000396803795
12.4136040211,1.3,1.3372,0.000397746213
12.6102581024,1.3,1.3378,0.000394524321
12.8142910004,1.3,1.3384,0.000395339664
13.0169050694,1.3,1.339,0.00039308137
13.2149310112,1.3,1.3396,0.000393572799
13.4137551785,1.3,1.3402,0.000394240081
13.6150701046,1.3,1.3408,0.000397914495
13.8157680035,1.3,1.3414,0.000392966659
14.0112471581,1.3,1.342,0.00039171173
14.2109200954,1.3,1.3426,0.000396162579
14.4143249989,1.3,1.3432,0.000397046348
14.6105880737,1.3,1.3438,0.000395864923
14.8148419857,1.3,1.3444,0.000395340431
15.0108580589,1.3,1.345,0.000395141292
15.2144110203,1.3,1.3456,0.000390519955
15.4168269634,1.3,1.3462,0.000394226666
15.6158561707,1.3,1.3468,0.000395303249
15.8174650669,1.3,1.3474,0.000397461974
16.0164489746,1.3,1.348,0.000393716835
16.2181110382,1.3,1.3486,0.000395304302
16.4173271656,1.3,1.3492,0.000396519556
16.6144089699,1.3,1.3498,0.000394358338
16.8191230297,1.3,1.3504,0.000393938881
17.011092186,1.3,1.351,0.00039581969
17.2157759666,1.3,1.3516,0.000398206785
17.4113459587,1.3,1.3522,0.00039221073
17.6189470291,1.3,1.3528,0.000395350494
17.8181371689,1.3,1.3534,0.000397128956
18.0196721554,1.3,1.354,0.000396246913
18.2185511589,1.3,1.3546,0.000399086049
18.4174239635,1.3,1.3552,0.000396496556
18.6191630363,1.3,1.3558,0.000397017023
18.818116188,1.3,1.3564,0.000392811793
19.0197710991,1.3,1.357,0.000396111021
19.2214410305,1.3,1.3576,0.000395477089
19.4214789867,1.3,1.3582,0.000395283795
19.6205940247,1.3,1.3588,0.000395454569
19.8219001293,1.3,1.3594,0.000395280536
20.0234880447,1.3,1.36,0.00039911614
20.2216150761,1.3,1.3606,0.000396269913
20.4205300808,1.3,1.3612,0.000394166004
20.6216850281,1.3,1.3618,0.000394034904
20.8212301731,1.3,1.3624,0.000391846662
21.0170631409,1.3,1.363,0.000397331354
21.2190601826,1.3,1.3636,0.000397205812
21.4237670898,1.3,1.3642,0.000400291239
21.6229481697,1.3,1.3648,0.000400400873
21.8233180046,1.3,1.3654,0.000396189317
22.0266339779,1.3,1.366,0.000398774498
22.2222700119,1.3,1.3666,0.000398999895
22.4238619804,1.3,1.3672,0.00040179102
22.6210010052,1.3,1.3678,0.0004027688
22.8243560791,1.3,1.3684,0.000399999142
23.0233001709,1.3,1.369,0.000398218475
23.2248680592,1.3,1.3696,0.00039658271
23.4239001274,1.3,1.3702,0.000400381705
23.6223490238,1.3,1.3708,0.000397326562
23.8247001171,1.3,1.3714,0.000399065349
24.0255351067,1.3,1.372,0.000400307628
24.2220900059,1.3,1.3726,0.000400125257
24.4243090153,1.3,1.3732,0.000399610348
24.6208369732,1.3,1.3738,0.000401419094
24.8264169693,1.3,1.3744,0.000401719242
25.0266151428,1.3,1.375,0.000397643385
25.2264180183,1.3,1.3756,0.000401681866
25.4266929626,1.3,1.3762,0.000403556352
25.6262321472,1.3,1.3768,0.000400443613
25.8224811554,1.3,1.3774,0.000399961767
26.0266931057,1.3,1.378,0.000397134034
26.2257640362,1.3,1.3786,0.000401177308
26.4273331165,1.3,1.3792,0.000401901419
26.628827095,1.3,1.3798,0.000397704526
26.8281321526,1.3,1.3804,0.00040070332
27.0294280052,1.3,1.381,0.000403794112
27.228728056,1.3,1.3816,0.000400504467
27.4257810116,1.3,1.3822,0.000403714763
27.6296470165,1.3,1.3828,0.000403884577
27.8289670944,1.3,1.3834,0.000407791673
28.0299220085,1.3,1.384,0.000404335566
28.228634119,1.3,1.3846,0.000406024042
28.4300310612,1.3,1.3852,0.000407027887
28.6281051636,1.3,1.3858,0.000403525208
28.8295049667,1.3,1.3864,0.000408379799
29.0320789814,1.3,1.387,0.000412656328
29.2268350124,1.3,1.3876,0.000414640733
29.4315590858,1.3,1.3882,0.000414771353
29.6333069801,1.3,1.3888,0.000417142733
29.8283100128,1.3,1.3894,0.000417785575
30.0302450657,1.3,1.39,0.000417620553
30.228935957,1.3,1.3906,0.000419642619
30.4308490753,1.3,1.3912,0.000422318265
30.6324241161,1.3,1.3918,0.000426647311
30.8315160275,1.3,1.3924,0.000422805576
31.0329120159,1.3,1.393,0.000421668904
31.2300629616,1.3,1.3936,0.000425376668
31.4324409962,1.3,1.3942,0.000422157555
31.6345450878,1.3,1.3948,0.00042554217
31.8305511475,1.3,1.3954,0.000429167805
32.0280239582,1.3,1.396,0.000441084204
32.2348971367,1.3,1.3966,0.000444904093
32.43394804,1.3,1.3972,0.000446382407
32.6304280758,1.3,1.3978,0.000448518898
32.8346121311,1.3,1.3984,0.000444584298
33.0336210728,1.3,1.399,0.000444321239
33.23280406,1.3,1.3996,0.000450925447
33.4340350628,1.3,1.4002,0.0004466447
33.6357140541,1.3,1.4008,0.00044453274
33.835021019,1.3,1.4014,0.000443234785
34.0376901627,1.3,1.402,0.000446791228
34.2363731861,1.3,1.4026,0.000446551455
34.435240984,1.3,1.4032,0.000445439223
34.6355600357,1.3,1.4038,0.000448215205
34.8376920223,1.3,1.4044,0.000463091203
35.0383760929,1.3,1.405,0.000476142548
35.2355589867,1.3,1.4056,0.000487305705
35.4371740818,1.3,1.4062,0.000495823594
35.6381840706,1.3,1.4068,0.000498456306
35.8377890587,1.3,1.4074,0.000495504758
36.0368349552,1.3,1.408,0.000503406635
36.2369921207,1.3,1.4086,0.000501662003
36.4367921352,1.3,1.4092,0.00050033405
36.6420969963,1.3,1.4098,0.000499452774
36.8383030891,1.3,1.4104,0.000500755521
37.0395171642,1.3,1.411,0.000508908768
37.2380039692,1.3,1.4116,0.000509455014
37.4403159618,1.3,1.4122,0.000521561162
37.6392271519,1.3,1.4128,0.000529869274
37.8362929821,1.3,1.4134,0.000543857478
38.0349280834,1.3,1.414,0.000557010599
38.2539110184,1.3,1.4146,0.000573783316
38.4372560978,1.3,1.4152,0.000590932271
38.6388120651,1.3,1.4158,0.000597813914
38.8410871029,1.3,1.4164,0.000608252
39.0380420685,1.3,1.417,0.000629839348
39.2399849892,1.3,1.4176,0.000669504652
39.4397311211,1.3,1.4182,0.00071063466
39.6423201561,1.3,1.4188,0.000748597593
39.8387200832,1.3,1.4194,0.000791767017
40.0429241657,1.3,1.42,0.000827266765
41.4441251755,1.3006,1.3,0.000432735844
41.6431500912,1.3006,1.3006,0.000424141673
41.8369040489,1.3006,1.3012,0.000417207706
42.0437440872,1.3006,1.3018,0.000410015278
42.2453081608,1.3006,1.3024,0.000408827335
42.4464950562,1.3006,1.303,0.000406965213
42.646020174,1.3006,1.3036,0.000405986666
42.8423440456,1.3006,1.3042,0.000402143491
43.0439791679,1.3006,1.3048,0.000400197228
43.2457361221,1.3006,1.3054,0.000400304849
43.4447841644,1.3006,1.306,0.000395964493
43.641297102,1.3006,1.3066,0.000394768406
43.845441103,1.3006,1.3072,0.00039814871
44.040197134,1.3006,1.3078,0.000396895027
44.2466721535,1.3006,1.3084,0.000396893495
44.4413731098,1.3006,1.309,0.000395719161
44.6463961601,1.3006,1.3096,0.000397111514
44.84486413,1.3006,1.3102,0.000398013298
45.0463500023,1.3006,1.3108,0.000394586422
45.2486491203,1.3006,1.3114,0.000397020855
45.4471571445,1.3006,1.312,0.00039897287
45.6496200562,1.3006,1.3126,0.000395631475
45.8482310772,1.3006,1.3132,0.0003944397
46.047535181,1.3006,1.3138,0.000398194902
46.2488701344,1.3006,1.3144,0.000395978102
46.4478859901,1.3006,1.315,0.000393558137
46.6501271725,1.3006,1.3156,0.000396128942
46.8433830738,1.3006,1.3162,0.000396878066
47.0513370037,1.3006,1.3168,0.000398060257
47.2440869808,1.3006,1.3174,0.000396009439
47.4508450031,1.3006,1.318,0.00039762719
47.6500840187,1.3006,1.3186,0.000399657594
47.8514270782,1.3006,1.3192,0.000394632708
48.0478811264,1.3006,1.3198,0.000397374287
48.2520070076,1.3006,1.3204,0.000397822016
48.4510669708,1.3006,1.321,0.000396433402
48.6522300243,1.3006,1.3216,0.000397469545
48.8516581059,1.3006,1.3222,0.000397082477
49.0507001877,1.3006,1.3228,0.000398030453
49.2524240017,1.3006,1.3234,0.000396213083
49.4517230988,1.3006,1.324,0.000397422299
49.6537160873,1.3006,1.3246,0.000395105163
49.8528380394,1.3006,1.3252,0.000393820624
50.0543000698,1.3006,1.3258,0.00039754966
50.2492980957,1.3006,1.3264,0.000397136047
50.4539680481,1.3006,1.327,0.000396585489
50.6555190086,1.3006,1.3276,0.000398165385
50.8517041206,1.3006,1.3282,0.000397223447
51.0460209846,1.3006,1.3288,0.000397423065
51.2528910637,1.3006,1.3294,0.000398214643
51.4518451691,1.3006,1.33,0.000395063476
51.6507689953,1.3006,1.3306,0.000397534231
51.8503351212,1.3006,1.3312,0.000399439001
52.0509459972,1.3006,1.3318,0.00039815954
52.2557830811,1.3006,1.3324,0.000395495776
52.4545819759,1.3006,1.333,0.000396121085
52.6586201191,1.3006,1.3336,0.00039412585
52.8514339924,1.3006,1.3342,0.000395806275
53.0574781895,1.3006,1.3348,0.000396889469
53.2558829784,1.3006,1.3354,0.000395836365
53.4546480179,1.3006,1.336,0.000396582996
53.6562700272,1.3006,1.3366,0.000396919753
53.857997179,1.3006,1.3372,0.000397594893
54.0572590828,1.3006,1.3378,0.000394251678
54.2564871311,1.3006,1.3384,0.000392565695
54.4575130939,1.3006,1.339,0.00039225395
54.6521000862,1.3006,1.3396,0.000394967738
54.8580670357,1.3006,1.3402,0.000395322223
55.057103157,1.3006,1.3408,0.000394102084
55.2587549686,1.3006,1.3414,0.000393388129
55.4602310658,1.3006,1.342,0.000395895494
55.6593210697,1.3006,1.3426,0.000393824456
55.8559219837,1.3006,1.3432,0.000397071646
56.0598900318,1.3006,1.3438,0.000398549673
56.2589001656,1.3006,1.3444,0.000394199161
56.4604551792,1.3006,1.345,0.000392502541
56.6592440605,1.3006,1.3456,0.000396975816
56.858880043,1.3006,1.3462,0.00039813606
57.0607070923,1.3006,1.3468,0.000393770119
57.2597851753,1.3006,1.3474,0.000394336105
57.4608399868,1.3006,1.348,0.00039575577
57.6598579884,1.3006,1.3486,0.000393293065
57.8614959717,1.3006,1.3492,0.000394398973
58.0606231689,1.3006,1.3498,0.000395488205
58.2619690895,1.3006,1.3504,0.000398657774
58.4612290859,1.3006,1.351,0.000396372261
58.6626620293,1.3006,1.3516,0.00039923459
58.8620710373,1.3006,1.3522,0.000394893948
59.0633301735,1.3006,1.3528,0.000394509179
59.260269165,1.3006,1.3534,0.000393468725
59.4639880657,1.3006,1.354,0.000394183252
59.6613481045,1.3006,1.3546,0.000397676448
59.8634181023,1.3006,1.3552,0.00039397405
60.0640611649,1.3006,1.3558,0.000395936415
60.257196188,1.3006,1.3564,0.000398031699
60.4641451836,1.3006,1.357,0.000396953103
60.6606841087,1.3006,1.3576,0.000394866923
60.8648161888,1.3006,1.3582,0.000395952323
61.0637631416,1.3006,1.3588,0.000397343717
61.2649140358,1.3006,1.3594,0.000397295705
61.4643690586,1.3006,1.36,0.000394554892
61.6661760807,1.3006,1.3606,0.000396942273
61.8650040627,1.3006,1.3612,0.000395894248
62.061011076,1.3006,1.3618,0.000396077671
62.2658360004,1.3006,1.3624,0.000398943546
62.4670131207,1.3006,1.363,0.000399979975
62.6674740314,1.3006,1.3636,0.000397846549
62.8659670353,1.3006,1.3642,0.000395629462
63.0671470165,1.3006,1.3648,0.000399073972
63.260529995,1.3006,1.3654,0.000400325069
63.4645290375,1.3006,1.366,0.000398303096
63.664026022,1.3006,1.3666,0.000401287707
63.8679041862,1.3006,1.3672,0.000399174215
64.0671970844,1.3006,1.3678,0.000396920806
64.2684919834,1.3006,1.3684,0.000398542582
64.4677240849,1.3006,1.369,0.000401856186
64.6659581661,1.3006,1.3696,0.00040257196
64.8680660725,1.3006,1.3702,0.000399057971
65.0697159767,1.3006,1.3708,0.00040284259
65.2687051296,1.3006,1.3714,0.000403562676
65.4677991867,1.3006,1.372,0.000401866823
65.671931982,1.3006,1.3726,0.000401065855
65.8665971756,1.3006,1.3732,0.000402442873
66.0740201473,1.3006,1.3738,0.000400938781
66.2702901363,1.3006,1.3744,0.00039924628
66.4681911469,1.3006,1.375,0.000400474663
66.6691641808,1.3006,1.3756,0.000404407537
66.8687200546,1.3006,1.3762,0.000399322277
67.0729219913,1.3006,1.3768,0.000401821877
67.2719070911,1.3006,1.3774,0.000401825136
67.4707841873,1.3006,1.378,0.000403942173
67.6723849773,1.3006,1.3786,0.000399962247
67.8713951111,1.3006,1.3792,0.000402046221
68.075343132,1.3006,1.3798,0.000403499522
68.2720711231,1.3006,1.3804,0.000401263748
