Vrf [V],Vdc [V],I  [nA]
0.63,0.63,0.0011091
0.632,0.63,0.00075889
0.634,0.63,0.0002919
0.636,0.63,0.000175
0.638,0.63,0.00034974
0.64,0.63,0.00087415
0.642,0.63,0.00093229
0.644,0.63,0.00058273
0.646,0.63,0.00046622
0.648,0.63,0.00046622
0.65,0.63,0.00040797
0.652,0.63,0.00029143
0.654,0.63,0.00058294
0.656,0.63,0.00058251
0.658,0.63,0.0005826
0.66,0.63,0.00058256
0.662,0.63,0.00058281
0.664,0.63,0.00046649
0.666,0.63,0
0.668,0.63,0.00029145
0.67,0.63,0.00046653
0.672,0.63,0.0005248
0.674,0.63,0.0004667
0.676,0.63,0.00058342
0.678,0.63,0.00052469
0.68,0.63,0.00040806
0.682,0.63,0.00046642
0.684,0.63,0.00034989
0.686,0.63,0.00046656
0.688,0.63,0.00035
0.69,0.63,0.00046656
0.692,0.63,0.00052508
0.694,0.63,0.00058367
0.696,0.63,0.00058381
0.698,0.63,0.00064223
0.7,0.63,0.00075929
0.702,0.63,0.00075973
0.704,0.63,0.00093471
0.706,0.63,0.00075889
0.708,0.63,0.00093395
0.71,0.63,0.00081726
0.712,0.63,0.00081726
0.714,0.63,0.00075889
0.716,0.63,0.00093409
0.718,0.63,0.00058372
0.72,0.63,0.00046646
0.722,0.63,0.00034984
0.724,0.63,0.00017486
0.726,0.63,0.00017484
0.728,0.63,0.00046625
0.73,0.63,0.00040797
0.63,0.632,0.00023309
0.632,0.632,0.00011658
0.634,0.632,0.00023318
0.636,0.632,0.00023325
0.638,0.632,0.00046642
0.64,0.632,0.00034977
0.642,0.632,0.00029151
0.644,0.632,0.00029171
0.646,0.632,0.000175
0.648,0.632,0.00035015
0.65,0.632,0.00040857
0.652,0.632,0.00046698
0.654,0.632,0.00087577
0.656,0.632,0.00070051
0.658,0.632,0.00046712
0.66,0.632,0.0001168
0.662,0.632,0.00035046
0.664,0.632,0.00058462
0.666,0.632,0.00087661
0.668,0.632,0.00093513
0.67,0.632,0.0010523
0.672,0.632,0.00087668
0.674,0.632,0.00075996
0.676,0.632,0.00046746
0.678,0.632,0.00029205
0.68,0.632,0.00029203
0.682,0.632,0.00058393
