Time (s),Vqpc-B (div 10) (V),Vtopgate (V),SG382 F (Hz) (Hz),Vsep-dc (div 10) (V),Vqpc-T (div 10) (V),SG382 Vpp (x2 V) (V),Vsep-rf (div 10) (V),DC Current (1 V = 1 nA) (V),AC current (A) (V),Temperature (K) (K),AC Voltage (V) (V)
0,4,6,100000000,7.7,4,0.001,7.1,0.000149354,0,1.405,6.26e-07
1.184129,4,6,100000000,7.7,4,0.001,7.11,0.000155588,0,1.405,5.59e-07
2.36984086,4,6,100000000,7.7,4,0.001,7.12,0.00015997,0,1.405,2.24e-07
3.565477848,4,6,100000000,7.7,4,0.001,7.13,0.000158572,0,1.405,6.93e-07
4.663170815,4,6,100000000,7.7,4,0.001,7.14,7.72e-05,0,1.405,5.51e-07
5.884287834,4,6,100000000,7.7,4,0.001,7.15,0.00010838,0,1.405,4.40e-07
7.081106901,4,6,100000000,7.7,4,0.001,7.16,0.000129109,0,1.405,5.66e-07
8.225802898,4,6,100000000,7.7,4,0.001,7.17,0.000146186,0,1.405,5.66e-07
9.373534918,4,6,100000000,7.7,4,0.001,7.18,0.000123766,0,1.405,2.91e-07
10.47595596,4,6,100000000,7.7,4,0.001,7.19,0.000157224,0,1.405,5.44e-07
11.66645098,4,6,100000000,7.7,4,0.001,7.2,0.000229842,0,1.405,4.02e-07
12.76890993,4,6,100000000,7.7,4,0.001,7.21,0.000197408,0,1.405,2.16e-07
13.97311091,4,6,100000000,7.7,4,0.001,7.22,0.000193086,0,1.405,2.53e-07
15.08530784,4,6,100000000,7.7,4,0.001,7.23,0.000155318,0,1.405,3.80e-07
16.26259279,4,6,100000000,7.7,4,0.001,7.24,-8.17e-05,0,1.405,5.66e-07
17.39800692,4,6,100000000,7.7,4,0.001,7.25,0.000113418,0,1.405,2.16e-07
18.575459,4,6,100000000,7.7,4,0.001,7.26,6.10e-05,0,1.405,3.50e-07
19.70879793,4,6,100000000,7.7,4,0.001,7.27,7.97e-05,0,1.405,3.20e-07
20.84521079,4,6,100000000,7.7,4,0.001,7.28,5.84e-05,0,1.405,1.56e-07
22.00931191,4,6,100000000,7.7,4,0.001,7.29,0.000115636,0,1.405,1.19e-07
23.1117599,4,6,100000000,7.7,4,0.001,7.3,0.000107919,0,1.405,2.01e-07
24.28522396,4,6,100000000,7.7,4,0.001,7.31,9.30e-05,0,1.405,2.76e-07
25.53037882,4,6,100000000,7.7,4,0.001,7.32,0.000117639,0,1.405,4.62e-07
26.70984292,4,6,100000000,7.7,4,0.001,7.33,8.85e-05,0,1.405,1.71e-07
27.86695981,4,6,100000000,7.7,4,0.001,7.34,0.000167836,0,1.405,5.07e-07
29.01191187,4,6,100000000,7.7,4,0.001,7.35,0.000127192,0,1.405,7.53e-07
30.19911385,4,6,100000000,7.7,4,0.001,7.36,0.000192909,0,1.405,3.80e-07
31.34600592,4,6,100000000,7.7,4,0.001,7.37,0.000136082,0,1.405,7.60e-07
32.51758981,4,6,100000000,7.7,4,0.001,7.38,0.000239231,0,1.405,4.02e-07
33.68594599,4,6,100000000,7.7,4,0.001,7.39,7.61e-05,0,1.405,2.53e-07
34.78855491,4,6,100000000,7.7,4,0.001,7.4,9.93e-05,0,1.405,5.07e-07
35.91493797,4,6,100000000,7.7,4,0.001,7.41,7.76e-05,0,1.405,1.56e-07
37.07368994,4,6,100000000,7.7,4,0.001,7.42,1.46e-05,0,1.405,3.20e-07
38.22894192,4,6,100000000,7.7,4,0.001,7.43,0.000133462,0,1.405,5.59e-07
39.33096981,4,6,100000000,7.7,4,0.001,7.44,5.64e-05,0,1.405,9.16e-07
40.49094796,4,6,100000000,7.7,4,0.001,7.45,2.79e-05,0,1.405,1.19e-07
41.66320586,4,6,100000000,7.7,4,0.001,7.46,-0.001349705,0,1.405,4.40e-07
42.84887886,4,6,100000000,7.7,4,0.001,7.47,-3.76e-05,0,1.405,1.71e-07
44.00801182,4,6,100000000,7.7,4,0.001,7.48,2.40e-05,0,1.405,4.69e-07
45.23529196,4,6,100000000,7.7,4,0.001,7.49,5.09e-05,0,1.405,2.83e-07
46.37743497,4,6,100000000,7.7,4,0.001,7.5,3.32e-05,0,1.405,5.96e-08
47.50162983,4,6,100000000,7.7,4,0.001,7.51,6.78e-05,0,1.405,5.96e-07
48.66842389,4,6,100000000,7.7,4,0.001,7.52,9.03e-05,0,1.405,2.24e-07
49.77153993,4,6,100000000,7.7,4,0.001,7.53,3.41e-05,0,1.405,1.56e-07
50.90737891,4,6,100000000,7.7,4,0.001,7.54,4.97e-05,0,1.405,1.49e-07
52.12070179,4,6,100000000,7.7,4,0.001,7.55,1.05e-05,0,1.405,6.18e-07
53.27651787,4,6,100000000,7.7,4,0.001,7.56,6.51e-05,0,1.405,1.86e-07
54.41952991,4,6,100000000,7.7,4,0.001,7.57,5.52e-05,0,1.405,3.80e-07
55.55498791,4,6,100000000,7.7,4,0.001,7.58,4.42e-05,0,1.405,1.71e-07
56.81850481,4,6,100000000,7.7,4,0.001,7.59,3.41e-05,0,1.405,5.07e-07
57.94132495,4,6,100000000,7.7,4,0.001,7.6,1.22e-05,0,1.405,1.27e-07
59.14015579,4,6,100000000,7.7,4,0.001,7.61,8.72e-05,0,1.405,5.07e-07
60.31252098,4,6,100000000,7.7,4,0.001,7.62,4.47e-05,0,1.405,6.26e-07
61.41690898,4,6,100000000,7.7,4,0.001,7.63,-3.84e-05,0,1.405,2.46e-07
62.54784393,4,6,100000000,7.7,4,0.001,7.64,1.44e-05,0,1.405,3.73e-07
63.71079278,4,6,100000000,7.7,4,0.001,7.65,-5.31e-05,0,1.405,4.69e-07
64.89334083,4,6,100000000,7.7,4,0.001,7.66,-1.05e-05,0,1.405,2.38e-07
66.11028194,4,6,100000000,7.7,4,0.001,7.67,-2.67e-05,0,1.405,3.05e-07
67.32999086,4,6,100000000,7.7,4,0.001,7.68,-8.87e-05,0,1.405,3.20e-07
68.46642399,4,6,100000000,7.7,4,0.001,7.69,2.55e-05,0,1.405,8.94e-08
69.65143681,4,6,100000000,7.7,4,0.001,7.7,4.21e-05,0,1.405,3.80e-07
70.75057197,4,6,100000000,7.7,4,0.001,7.71,7.96e-05,0,1.405,5.22e-07
71.87998486,4,6,100000000,7.7,4,0.001,7.72,8.65e-05,0,1.405,3.20e-07
73.00534487,4,6,100000000,7.7,4,0.001,7.73,9.68e-05,0,1.405,5.07e-07
74.21435094,4,6,100000000,7.7,4,0.001,7.74,6.45e-05,0,1.405,5.51e-07
75.34616494,4,6,100000000,7.7,4,0.001,7.75,-0.000338937,0,1.405,5.22e-07
76.48381996,4,6,100000000,7.7,4,0.001,7.76,8.04e-05,0,1.405,3.20e-07
77.6046958,4,6,100000000,7.7,4,0.001,7.77,9.10e-05,0,1.405,2.01e-07
78.8291018,4,6,100000000,7.7,4,0.001,7.78,9.92e-05,0,1.405,2.61e-07
79.97818995,4,6,100000000,7.7,4,0.001,7.79,6.24e-05,0,1.405,2.38e-07
81.11512899,4,6,100000000,7.7,4,0.001,7.8,0.000146128,0,1.405,3.65e-07
82.21561694,4,6,100000000,7.7,4,0.001,7.81,9.98e-05,0,1.405,2.76e-07
83.36296391,4,6,100000000,7.7,4,0.001,7.82,6.72e-05,0,1.405,6.33e-07
84.52987099,4,6,100000000,7.7,4,0.001,7.83,0.000146799,0,1.405,4.99e-07
85.66098595,4,6,100000000,7.7,4,0.001,7.84,0.000124736,0,1.405,3.65e-07
86.88526487,4,6,100000000,7.7,4,0.001,7.85,0.000133963,0,1.405,1.34e-07
88.03321981,4,6,100000000,7.7,4,0.001,7.86,9.17e-05,0,1.405,3.13e-07
89.13862085,4,6,100000000,7.7,4,0.001,7.87,9.46e-05,0,1.405,1.64e-07
90.23983288,4,6,100000000,7.7,4,0.001,7.88,9.68e-05,0,1.405,6.78e-07
91.37366199,4,6,100000000,7.7,4,0.001,7.89,0.000109521,0,1.405,5.14e-07
92.56423283,4,6,100000000,7.7,4,0.001,7.9,0.000165865,0,1.405,1.71e-07
93.70364594,4,6,100000000,7.7,4,0.001,7.91,0.000150207,0,1.405,1.42e-07
94.86706996,4,6,100000000,7.7,4,0.001,7.92,0.000102987,0,1.405,1.04e-07
96.007478,4,6,100000000,7.7,4,0.001,7.93,0.000127972,0,1.405,7.45e-08
97.156353,4,6,100000000,7.7,4,0.001,7.94,0.000101206,0,1.405,1.19e-07
98.32636786,4,6,100000000,7.7,4,0.001,7.95,0.000119116,0,1.405,4.92e-07
99.47640586,4,6,100000000,7.7,4,0.001,7.96,0.00010072,0,1.405,9.69e-08
100.5741348,4,6,100000000,7.7,4,0.001,7.97,0.000148991,0,1.405,9.46e-07
101.7344859,4,6,100000000,7.7,4,0.001,7.98,0.00012682,0,1.405,1.17e-06
102.8398619,4,6,100000000,7.7,4,0.001,7.99,0.000187337,0,1.405,2.01e-07
103.9672399,4,6,100000000,7.7,4,0.001,8,-8.11e-05,0,1.405,2.24e-07
146.5883899,4,6,100000000,7.7,4,0.01,7.1,0.000175047,0,1.405,2.09e-07
147.709384,4,6,100000000,7.7,4,0.01,7.11,0.000135163,0,1.405,5.66e-07
148.84496,4,6,100000000,7.7,4,0.01,7.12,0.000156447,0,1.405,1.71e-07
150.0222719,4,6,100000000,7.7,4,0.01,7.13,0.000121415,0,1.405,1.71e-07
151.3386128,4,6,100000000,7.7,4,0.01,7.14,0.000130305,0,1.405,2.46e-07
152.4475989,4,6,100000000,7.7,4,0.01,7.15,5.90e-05,0,1.405,3.28e-07
